name,title,agency,acronym,division_path,phone,phone_2,division_phone,fax,address,city,state,zip,section,vacant,name_source,other_source_name
(vacant),"Assistant Commissioner, Counseling","Correction, Department of",DOC,Division of Programs and Community Partnerships,(718) 546-0440,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,yes,Green Book,
Manu Goel,Deputy Commissioner/Chief Information Technology Officer,"Correction, Department of",DOC,Information Technology Division,(718) 546-0548,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,,Green Book,
Kathleen Zadzora,"Assistant Commissioner, Health Affairs","Correction, Department of",DOC,"Division of Health Affairs, Compliance and Quality",(718) 546-0475,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,,Green Book,
Lashawna Gordon-Dixon,"Assistant Commissioner, HMD","Correction, Department of",DOC,Health Management Division,(718) 595-2554,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,,Green Book,
Brian Charkowick,"Associate Commissioner, Information Technology","Correction, Department of",DOC,Information Technology Division,(718) 546-0520,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,,Green Book,
James Boyd,"Deputy Commissioner, Strategic Operations","Correction, Department of",DOC,Division of Strategic Operations,(718) 546-0814,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,,Green Book,
Shaun Kelly,Assistant Commissioner,"Correction, Department of",DOC,Correctional Intelligence Unit,(718) 546-6335,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,,Green Book,
Nell McCarty,"Associate Commissioner, Programs","Correction, Department of",DOC,Division of Programs and Community Partnerships,(718) 546-5474,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,,Green Book,
Alexandria Maldonado,"Assistant Commissioner, Strategic Initiatives","Correction, Department of",DOC,Division of Strategic Operations,(718) 546-0733,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,,Green Book,
Miguel Hernandez,"Assistant Commissioner, Program Operations","Correction, Department of",DOC,Division of Programs and Community Partnerships,(718) 546-0440,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,,Green Book,
(vacant),"Assistant Commissioner, Investigations","Correction, Department of",DOC,Investigations Divison,(718) 546-4853,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,yes,Green Book,
Jonathan Levine,Assistant Commissioner,"Correction, Department of",DOC,Special Investigations Unit,(718) 546-3308,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,,Green Book,
Kyle Archie,"Assistant Commissioner, Operations Research","Correction, Department of",DOC,Division of Strategic Operations,(718) 546-0922,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,,Green Book,
Monique Antoine,"Assistant Commissioner, Environmental Health","Correction, Department of",DOC,"Division of Health Affairs, Compliance and Quality",(718) 546-3091,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,,Green Book,
Michael Carlier,"Director, Community Boards",Borough President - Queens,,Units,(718) 286-2974,,,,120-55 Queens Blvd.,Kew Gardens,NY,11424,City,,Green Book,
Christine Paulino,"Director, Facilities and Fleet",Borough President - Bronx,,,(718) 590-3545,,,,851 Grand Concourse,Bronx,NY,10451,City,,Green Book,
Valerie Greisokh,"Assistant Commissioner, Reintegration","Correction, Department of",DOC,Division of Programs and Community Partnerships,(718) 546-0453,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,,Green Book,
(vacant),"Deputy Commissioner, Programs","Correction, Department of",DOC,Division of Programs and Community Partnerships,(718) 546-8320,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,yes,Green Book,
Yvonne Prichett,"Deputy Commissioner, Investigations","Correction, Department of",DOC,Investigations Divison,(718) 546-0305,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,,Green Book,
David Casanova,Special Counsel,"Investigation for the NYC School District, Special Commissioner of",,,(212) 510-1419,,,,80 Maiden Lane,New York,NY,10038,City,,Green Book,
"Keith Snow, Esq",General Counsel/Chief Administrative Officer,"Actuary, Office of",,,(212) 312-0111,,,,255 Greenwich St.,New York,NY,10007,City,,Green Book,
"Marek Tyszkiewicz ASA, MAAA",Chief Actuary,"Actuary, Office of",,,(212) 312-0110,,,,255 Greenwich St.,New York,NY,10007,City,,Green Book,
Marlene Markoe-Boyd,Records Access Officer & EEO Officer,"Actuary, Office of",,,(212) 312-0119,,,,255 Greenwich St.,New York,NY,10007,City,,Green Book,
"Melissa Chacko FSA, EA","Deputy Chief Actuary, Certification Services","Actuary, Office of",,,(212) 312-0166,,,,255 Greenwich St.,New York,NY,10007,City,,Green Book,
Katherine Otilia Zapata,Director of Intergovernmental Affairs and Director of Education,Borough President - Queens,,,(718) 286-2627,,,,120-55 Queens Blvd.,Kew Gardens,NY,11424,City,,Green Book,
(vacant),"Deputy Chief Actuary, Actuarial Services Division","Actuary, Office of",,,(212) 312-0178,,,,255 Greenwich St.,New York,NY,10007,City,yes,Green Book,
Arnab Das,"Deputy Commissioner, Administration","Administrative Trials And Hearings, Office of",OATH,,(212) 933-3030,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Aneudy Castillo,"Assistant Chief, Commanding",Police Department,NYPD,Patrol Borough Bronx North,,,(718) 299-4314,,450 Cross Bronx Expy.,Bronx,NY,10457,City,,Green Book,
Jean Wesh,Deputy Commissioner/Ombudsperson & Pro Se Clerk,"Administrative Trials And Hearings, Office of",OATH,,(212) 436-0812,,,,100 Church St.,New York,NY,10007,City,,Green Book,
John Castelli,"Deputy Commissioner, Legislative Affairs","Administrative Trials And Hearings, Office of",OATH,,(212) 933-3087,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Joseph Hughes,"Deputy Commissioner, Information Technology","Administrative Trials And Hearings, Office of",OATH,,(212) 436-0706,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Maria Marchiano,Deputy Commissioner/Chief Clerk,"Administrative Trials And Hearings, Office of",OATH,,(212) 436-0836,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Marisa Senigo,"Deputy Commissioner, Public Affairs & Communications","Administrative Trials And Hearings, Office of",OATH,,(212) 933-3080,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Noel Garcia,Deputy Commissioner/ Special Education Hearings Division,"Administrative Trials And Hearings, Office of",OATH,,(212) 436-0824,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Peter Schulman,"Deputy Commissioner, Appeals Division","Administrative Trials And Hearings, Office of",OATH,,(718) 923-6230,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Rachel Amar,Senior Advisor to the Commissioner,"Administrative Trials And Hearings, Office of",OATH,,(212) 933-3088,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Raymond Kramer,"Executive Director, Administrative Judicial Institute at OATH","Administrative Trials And Hearings, Office of",OATH,,(212) 436-0869,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Raymond Kramer,"Executive Director, Center for Creative Conflict Resolution (CCCR)","Administrative Trials And Hearings, Office of",OATH,,(212) 436-0869,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Sharina DeRoberts,EEO & Diversity Officer,"Administrative Trials And Hearings, Office of",OATH,,(212) 436-0524,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Sandy Bryant,"Deputy Commissioner, Fair Hearing Administration","Homeless Services, Department of",DHS,DSS Office of Legal Affairs,(929) 221-6548,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
Benjamin Strong,"Senior Director, Emergency Preparedness","Aging, Department for the",,Administration,(212) 602-4443,,,,2 Lafayette St.,New York,NY,10007,City,,Green Book,
David Dring,"Assistant Commissioner, Change Management","Aging, Department for the",,Administration,(212) 602-4459,,,,2 Lafayette St.,New York,NY,10007,City,,Green Book,
Erkan Solak,Agency Chief Contracting Officer,"Aging, Department for the",,Administration,(212) 602-4280,,,,2 Lafayette St.,New York,NY,10007,City,,Green Book,
Glenford David,"Senior Director, General & Administrative Services","Aging, Department for the",,Administration,(212) 602-4290,,,,2 Lafayette St.,New York,NY,10007,City,,Green Book,
Jennine Ventura,"Assistant Commissioner, Interagency Collaboration and Innovation","Aging, Department for the",,Administration,(212) 602-4395,,,,2 Lafayette St.,New York,NY,10007,City,,Green Book,
Kamlesh Patel,Chief Information Officer,"Aging, Department for the",,Administration,(212) 602-4430,,,,2 Lafayette St.,New York,NY,10007,City,,Green Book,
Helen Foster,"Deputy Commissioner, HR Services","Homeless Services, Department of",DHS,DSS Office of the Chief People Officer,(929) 221-5568,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
Edgar J. Yu,"Assistant Commissioner, External Affairs & Chief of Staff","Aging, Department for the",,Executive,(212) 602-4148,,,,2 Lafayette St.,New York,NY,10007,City,,Green Book,
Anjella Babayeva,"Deputy Commissioner, Audit &amp; Quality Assurance Services",Human Resources Administration / Department of Social Services,HRA DSS,DSS Office of Accountability,(929) 221-6935,,,,150 Greenwich St.,New York,NY,10007,City,,Green Book,
"Judith Falk, Esq.",FOIL/Records Access,Transportation,DOT,Division of Legal Affairs > Office of Litigation Services/Records Management,(212) 839-9836,,(212) 839-9840,,55 Water St.,New York,NY,10041,City,,Green Book,
Jose Mercado,Chief Financial Officer,"Aging, Department for the",,Executive,(212) 602-4471,,,,2 Lafayette St.,New York,NY,10007,City,,Green Book,
Penney Vachiraprapun,General Counsel,"Aging, Department for the",,Executive,(212) 602-4286,,,,2 Lafayette St.,New York,NY,10007,City,,Green Book,
Ryan A. Murray,Executive Deputy Commissioner & Chief Program Officer,"Aging, Department for the",,Executive,(212) 602-7763,,,,2 Lafayette St.,New York,NY,10007,City,,Green Book,
Sade McIntosh,Chief Human Resources Officer,"Aging, Department for the",,Executive,(212) 602-4408,,,,2 Lafayette St.,New York,NY,10007,City,,Green Book,
Meka Nurse,"Senior Director, Aging Connect","Aging, Department for the",,External Affairs,(212) 602-4146,,,,2 Lafayette St.,New York,NY,10007,City,,Green Book,
Louella Byers,"Assistant Commissioner, Bureau of Community Services","Aging, Department for the",,Programs,(212) 602-4314,,,,2 Lafayette St.,New York,NY,10007,City,,Green Book,
Angel Hernandez,Borough Historian,Borough Historians,,Bronx,(718) 881-8900,,(718) 881-8900,,3309 Bainbridge Ave.,Bronx,NY,10467,City,,Green Book,
Brian Cain,"Assistant Director, Housing, Environment, and Infrastructure","Independent Budget Office, NYC",IBO,,,,,,110 William St.,New York,NY,10038,City,,Green Book,
Anastasia Coleman,Special Commissioner of Investigation,"Investigation for the NYC School District, Special Commissioner of",,,(212) 510-1400,,,,80 Maiden Lane,New York,NY,10038,City,,Green Book,
"Jack Eichenbaum, PhD",Borough Historian,Borough Historians,,Queens,,,(718) 961-8406,,,,,,City,,Green Book,
Thomas Matteo,Borough Historian,Borough Historians,,Staten Island,,,(718) 605-7568,,460 Brielle Ave.,Staten Island,NY,10314,City,,Green Book,
Deborah Schwartz,President & CEO,Borough Historical Societies,,Brooklyn Historical Society,,,(718) 222-4111,,128 Pierrepont St.,Brooklyn,NY,11201,City,,Green Book,
Jessica B. Phillips,Executive Director & CEO,Borough Historical Societies,,Staten Island Historical Society/Historic Richmond Town,,,(718) 351-1611,,441 Clarke Avenue,Staten Island,NY,10306,City,,Green Book,
Gary Hermalyn,CEO,Borough Historical Societies,,The Bronx County Historical Society,,,(718) 881-8900,,3309 Bainbridge Ave.,Bronx,NY,10467,City,,Green Book,
Teresa Brown,CAO,Borough Historical Societies,,The Bronx County Historical Society,,,(718) 881-8900,,3309 Bainbridge Ave.,Bronx,NY,10467,City,,Green Book,
Louise Mirrer,President & CEO,Borough Historical Societies,,The New-York Historical Society,,,(212) 873-3400,,170 Central Park West,New York,NY,10024,City,,Green Book,
Branka Duknic,Executive Director,Borough Historical Societies,,The Queens Historical Society at Kingsland Homestead,,,(718) 939-0647,,143-35 37th Ave.,Flushing,NY,11354,City,,Green Book,
Daniela Addamo,Curator & Collections Manager,Borough Historical Societies,,The Queens Historical Society at Kingsland Homestead,,,(718) 939-0647,,143-35 37th Ave.,Flushing,NY,11354,City,,Green Book,
Jason Antos,Acting President,Borough Historical Societies,,The Queens Historical Society at Kingsland Homestead,,,(718) 939-0647,,143-35 37th Ave.,Flushing,NY,11354,City,,Green Book,
Jeran Halfpap,Education & Outreach Director,Borough Historical Societies,,The Queens Historical Society at Kingsland Homestead,,,(718) 939-0647,,143-35 37th Ave.,Flushing,NY,11354,City,,Green Book,
Patricia B. Sherwood,"Vice President, Operations",Borough Historical Societies,,The Queens Historical Society at Kingsland Homestead,,,(718) 939-0647,,143-35 37th Ave.,Flushing,NY,11354,City,,Green Book,
Yuwen Huyan,Research & Administration Assistant,Borough Historical Societies,,The Queens Historical Society at Kingsland Homestead,,,(718) 939-0647,,143-35 37th Ave.,Flushing,NY,11354,City,,Green Book,
Angel Hernandez,Borough Historian,Borough President - Bronx,,,(718) 590-3500,,,,851 Grand Concourse,Bronx,NY,10451,City,,Green Book,
Betty McCray,"Director, Capital Programs",Borough President - Bronx,,,(718) 590-6033,,,,851 Grand Concourse,Bronx,NY,10451,City,,Green Book,
Ciara Gannon,"Director, Community Boards",Borough President - Bronx,,,(718) 590-6005,,,,851 Grand Concourse,Bronx,NY,10451,City,,Green Book,
Maya Rich,Special Counsel,"Investigation for the NYC School District, Special Commissioner of",,,(212) 510-1438,,,,80 Maiden Lane,New York,NY,10038,City,,Green Book,
Eric Pesner,"Director, Policy",Borough President - Bronx,,,(718) 590-6815,,,,851 Grand Concourse,Bronx,NY,10451,City,,Green Book,
Kavita Persaud,HR Director / Office Administrator,"Investigation for the NYC School District, Special Commissioner of",,,(212) 510-1420,,,,80 Maiden Lane,New York,NY,10038,City,,Green Book,
Joseph Schiralli,Chief in Charge,Fire Department,FDNY,Fire Operations > Queens Borough Command,,,(718) 965-0434,,135-16 38th Ave.,Flushing,NY,11354,City,,Green Book,
Geo Chacko,"Director, Information Technology",Borough President - Bronx,,,(718) 537-3405,,,,851 Grand Concourse,Bronx,NY,10451,City,,Green Book,
Elizabeth J. Shampnoi,"Director, Mediation & Conflict Resolution","Human Rights, City Commission on",CCHR,General Counsel,(212) 416-0228,,,,22 Reade St.,New York,NY,10007,City,,Green Book,
Samuel A. Levine,Commissioner,Consumer and Worker Protection,CWP,,,,,,42 Broadway,New York,NY,10004,City,,Green Book,
Justin B. Cortes,Chief of Staff & Senior Strategic Advisor,Borough President - Bronx,,,(718) 590-3500,,,,851 Grand Concourse,Bronx,NY,10451,City,,Green Book,
Juton M. Horstman,"Director, Planning & Development",Borough President - Bronx,,,(718) 590-3514,,,,851 Grand Concourse,Bronx,NY,10451,City,,Green Book,
Larcenia Walton,"Director, Ombudsman and Senior Services",Borough President - Bronx,,,(718) 590-6248,,,,851 Grand Concourse,Bronx,NY,10451,City,,Green Book,
Paul Miano,Chief of EMS Operations,Fire Department,FDNY,EMS Operations,,,(718) 999-2770,,9 MetroTech Center,Brooklyn,NY,11201,City,,Green Book,
Candice McCardle MPH,Deputy Chief of Staff,"Health & Mental Hygiene, Department of",DOHMH,,(347) 396-2784,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Michael A. Ivory,"Director, Communications",Borough President - Bronx,,,(718) 590-3500,,,,851 Grand Concourse,Bronx,NY,10451,City,,Green Book,
Edward Timbers,"Director, Communications",Environmental Protection,DEP,Bureau of Public Affairs & Communications,,,(718) 595-6600,,59-17 Junction Blvd.,Flushing,NY,11373,City,,Green Book,
Nelson Palacios,"Director, Education Policy & Youth Programs",Borough President - Bronx,,,(718) 590-3515,,,,851 Grand Concourse,Bronx,NY,10451,City,,Green Book,
Rebecca Behle,Director,Environmental Protection,DEP,Office of the Chief Financial Officer > Fleet Services,(718) 595-5259,,(718) 595-5259,,59-17 Junction Blvd.,Flushing,NY,11373,City,,Green Book,
Sonia Malave,"Director, Special Events",Borough President - Bronx,,,(718) 590-3989,,,,851 Grand Concourse,Bronx,NY,10451,City,,Green Book,
David Warne PE,Acting Deputy Commissioner,Environmental Protection,DEP,Bureau of Water Supply,(845) 340-7800,,,,465 Columbus Avenue,Valhalla,NY,10595,City,,Green Book,
(vacant),Consulting Engineer,Borough President - Bronx,,,(718) 590-3500,,,,851 Grand Concourse,Bronx,NY,10451,City,yes,Green Book,
(vacant),EEO Compliance Officer,Borough President - Bronx,,,(718) 590-6815,,,,851 Grand Concourse,Bronx,NY,10451,City,yes,Green Book,
Vanessa L. Gibson,President of the Borough,Borough President - Bronx,,,,,,,851 Grand Concourse,Bronx,NY,10451,City,,Green Book,
Alexis Rodriguez,Deputy Chief of Staff,Borough President - Brooklyn,,,(718) 802-3906,,,,209 Joralemon St.,Brooklyn,NY,11201,City,,Green Book,
Antonio Reynoso,President of the Borough,Borough President - Brooklyn,,,,,,,209 Joralemon St.,Brooklyn,NY,11201,City,,Green Book,
"Kenneth Shelton, Jr.",Data Acquisition and Governance Manager,"Independent Budget Office, NYC",IBO,,,,,,110 William St.,New York,NY,10038,City,,Green Book,
Astrid Cuas,"Director, Capital Expense Budget",Borough President - Brooklyn,,,(718) 802-3863,,,,209 Joralemon St.,Brooklyn,NY,11201,City,,Green Book,
Carol-Ann Church,"Director, Community Boards",Borough President - Brooklyn,,,(718) 802-4836,,,,209 Joralemon St.,Brooklyn,NY,11201,City,,Green Book,
Daniel Abramson,"Director, Intergovernmental Affairs & Appointments",Borough President - Brooklyn,,,(718) 802-4195,,,,209 Joralemon St.,Brooklyn,NY,11201,City,,Green Book,
Samantha Beck,Acting Chief of Staff,Environmental Protection,DEP,,(718) 595-6799,,,,59-17 Junction Blvd.,Flushing,NY,11373,City,,Green Book,
Andrea Pinnock,Vice President and Administration and Finance,City University of New York,CUNY,Community Colleges > Bronx Community College,(718) 289-5561,,(718) 289-5100,(718) 289-6333,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
"Larry D. Johnson, Jr.",President,City University of New York,CUNY,Community Colleges > Bronx Community College,(718) 289-5155,,(718) 289-5100,(718) 289-6011,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Marit Lawson,"Acting Deputy Commissioner, Environment and Planning","Parks, NYC",,Environment/Planning,(212) 360-1415,,,,"The Arsenal, Central Park, 830 5th Ave. Room 203",New York,NY,10065,City,,Green Book,
Sarita Subramanian,"Senior Research and Strategy Officer, Education & Social and Community Services","Independent Budget Office, NYC",IBO,,,,,,110 William St.,New York,NY,10038,City,,Green Book,
Lacey Tauber,Legislative Director,Borough President - Brooklyn,,,(718) 802-3806,,,,209 Joralemon St.,Brooklyn,NY,11201,City,,Green Book,
David Carr,Minority Leader,City Council,NYCC,Officers of the Council,(212) 788-7390,,,,City Hall,New York,NY,10007,City,,Green Book,
Pedro Sena,"Director, Operations",Borough President - Brooklyn,,,(718) 802-3808,,,,209 Joralemon St.,Brooklyn,NY,11201,City,,Green Book,
Jennifer McDonnel,"Deputy Commissioner, Solid Waste Management",Sanitation,DSNY,Support Services > Solid Waste Management,(212) 437-4479,,(646) 885-4700,,125 Worth St.,New York,NY,10013,City,,Green Book,
Logan Clark,"Assistant Director and Chief Financial Officer, Budget Review","Independent Budget Office, NYC",IBO,,,,,,110 William St.,New York,NY,10038,City,,Green Book,
Yolanda Medina,"Interim Associate Dean, Faculty Affairs",City University of New York,CUNY,Community Colleges > Borough of Manhattan Community College,(212) 220-8323,,(212) 220-8000,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Amy Slattery,"Director, Budget",Borough President - Manhattan,,,(212) 669-2392,,,,1 Centre St.,New York,NY,10007,City,,Green Book,
Aya Keefe,Deputy Borough President,Borough President - Manhattan,,,(212) 669-3634,,,,1 Centre St.,New York,NY,10007,City,,Green Book,
Jeremiah Johnson,"Acting Deputy Commissioner, Training and Development","Correction, Department of",DOC,Training and Development Division,(718) 707-2310,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,,Green Book,
Solange Grey,"Deputy Commissioner, Trials and Litigation","Correction, Department of",DOC,Office of Trials and Litigation,(718) 546-03364,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,,Green Book,
Keisha Sutton-James,Deputy Borough President,Borough President - Manhattan,,,(212) 669-3877,,,,1 Centre St.,New York,NY,10007,City,,Green Book,
Shaun Abreu,Majority Leader,City Council,NYCC,Officers of the Council,(212) 788-7007,,,,City Hall,New York,NY,10007,City,,Green Book,
Manuel Belliard,"Director, Constituent Services",Borough President - Manhattan,,,(212) 531-1609,,,,1 Centre St.,New York,NY,10007,City,,Green Book,
Ricardo Torres MPA,"Director, Manhattan Regional Office","Health & Mental Hygiene, Department of",DOHMH,Division of Family & Child Health > Bureau of Early Intervention,,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Winthrop Roosevelt,"Director, Communications",Borough President - Manhattan,,,(212) 669-8137,,,,1 Centre St.,New York,NY,10007,City,,Green Book,
Joshua Young,"Deputy Commissioner, Management, Analysis and Planning","Correction, Department of",DOC,Office of Management Analysis and Planning,(718) 546-0829,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,,Green Book,
Kevin Doherty,"Associate Commissioner, Facility and Fleet Administration","Correction, Department of",DOC,Divison of Facility and Fleet Administration,(718) 546-1420,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,,Green Book,
Caroline Bragdon,"Director, Neighborhood Interventions","Health & Mental Hygiene, Department of",DOHMH,Division of Environmental Health > Bureau of Veterinary and Pest Control Services,,,(646) 364-1799,,22 Cortlandt St.,New York,NY,10007,City,,Green Book,
Renee Noel,Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Division of Environmental Health > Bureau of Child Care,(646) 632-6157,,,,125 Worth St.,New York,NY,10013,City,,Green Book,
Janice Chisolm,Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,"Division of Mental Hygiene > Bureau of Community Awareness, Action, Response, and Engagement (BCAARE)",(347) 396-7067,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Rick Simeone,"Director, Pest Control Services","Health & Mental Hygiene, Department of",DOHMH,Division of Environmental Health > Bureau of Veterinary and Pest Control Services,,,(646) 364-1799,,22 Cortlandt St.,New York,NY,10007,City,,Green Book,
Dorene Terry-Bess,Director of Health Academy,"Health & Mental Hygiene, Department of",DOHMH,Division of Environmental Health > Bureau of Food Safety and Community Sanitation,(646) 364-1047,,,,125 Worth St.,New York,NY,10013,City,,Green Book,
Norma S. Torres,"Director, Veterinary Public Health Services","Health & Mental Hygiene, Department of",DOHMH,Division of Environmental Health > Bureau of Veterinary and Pest Control Services,,,(646) 364-1799,,22 Cortlandt St.,New York,NY,10007,City,,Green Book,
Diane Fung,Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Division of Environmental Health > Bureau of Environmental Sciences and Engineering,(718) 786-5574,,,,30-30 47th Ave.,Long Island City,NY,11101,City,,Green Book,
"Rebecca Linn-Walton, II",Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,"Division of Mental Hygiene > Bureau of Alcohol & Drug Use Prevention, Care & Treatment",(347) 396-7012,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Sarah Parker,"Senior Research & Strategy Officer, Budget Review, Economics & Housing, Environment & Infrastructure","Independent Budget Office, NYC",IBO,,,,,,110 William St.,New York,NY,10038,City,,Green Book,
Michael Moore,Assistant Secretary,"Water Finance Authority, NYC Municipal",,,(212) 356-2517,,,,255 Greenwich St.,New York,NY,10007,City,,Green Book,
Liesl B. Jones,Associate Provost,City University of New York,CUNY,Community Colleges > Borough of Manhattan Community College,(212) 220-8018,,(212) 220-8000,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Wai Ting Yu,Assistant Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Division of Finance > Bureau of Budget Administration,(347) 396-6214,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Matthew Pascarelli,Assistant Commissioner,Finance,DOF,Administration & Planning > Financial Management,(212) 291-4481,,,,59 Maiden Ln.,New York,NY,10038,City,,Green Book,
Angela Shand,"Director, Contracts & Procurement",Borough President - Staten Island,,,(718) 816-2124,,,,Borough Hall,Staten Island,NY,10301,City,,Green Book,
Karen Wilson-Stevenson,"Vice President, Institutional Advancement",City University of New York,CUNY,Community Colleges > Borough of Manhattan Community College,(212) 220-8021,,(212) 220-8000,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
"Daniel Master, Esq.",Counsel,Borough President - Staten Island,,,(718) 816-2134,,,,Borough Hall,Staten Island,NY,10301,City,,Green Book,
Asha Harris,"Assistant Commissioner, Urban Park Service","Parks, NYC",,Public Programs and Urban Park Service,(212) 360-1433,,,,"The Arsenal, Central Park, 830 5th Ave. Room 203",New York,NY,10065,City,,Green Book,
Heather DeMauro,Director of Human Resources,Borough President - Staten Island,,,(718) 816-2210,,,,Borough Hall,Staten Island,NY,10301,City,,Green Book,
Lauren Antonelli,"Executive Director, Dining Out NYC",Transportation,DOT,Division of Legal Affairs > Office of Cityscape & Franchises,(212) 839-6409,,(212) 839-6550,,55 Water St.,New York,NY,10041,City,,Green Book,
Marie Carmody La-Francesca,Director of Constituent Services & Capital Budget,Borough President - Staten Island,,,(718) 816-2141,,,,Borough Hall,Staten Island,NY,10301,City,,Green Book,
Ram Raju M.D.,Senior Advisor for Intergovernmental Affairs and Health & Wellness,Borough President - Staten Island,,,(718) 816-2049,,,,Borough Hall,Staten Island,NY,10301,City,,Green Book,
Philip Wasserman,Executive Director,"Water Finance Authority, NYC Municipal",,,(212) 788-4969,,,,255 Greenwich St.,New York,NY,10007,City,,Green Book,
Sia Petropole-Sipp,Special Assistant to the Borough President,Borough President - Staten Island,,,(718) 816-2058,,,,Borough Hall,Staten Island,NY,10301,City,,Green Book,
Vito J. Fossella,President of the Borough,Borough President - Staten Island,,,,,,,Borough Hall,Staten Island,NY,10301,City,,Green Book,
William Beale,Director of Emergency Management and Public Safety,Borough President - Staten Island,,,(718) 816-2062,,,,Borough Hall,Staten Island,NY,10301,City,,Green Book,
Eric Landau,President,Brooklyn Bridge Park Corporation,,,(718) 650-5925,,,,334 Furman St.,Brooklyn,NY,11201,City,,Green Book,
Jeffrey Sandgrund,Chief Operating Officer,Brooklyn Bridge Park Corporation,,,(718) 650-5930,,,,334 Furman St.,Brooklyn,NY,11201,City,,Green Book,
Sarah Krauss,"Chief of Staff & Vice President, Public Affairs",Brooklyn Bridge Park Corporation,,,(718) 650-5926,,,,334 Furman St.,Brooklyn,NY,11201,City,,Green Book,
Brian Linett,Senior Vice President & Controller,Brooklyn Navy Yard Development Corporation,,,(718) 907-5962,,,,"141 Flushing Avenue, Suite 801",Brooklyn,NY,11205,City,,Green Book,
Carmine Stabile,"Senior Vice President, Utilities & Maintenance",Brooklyn Navy Yard Development Corporation,,,(718) 907-5919,,,,"141 Flushing Avenue, Suite 801",Brooklyn,NY,11205,City,,Green Book,
Joseph Colista,"Vice President, Leasing",Brooklyn Navy Yard Development Corporation,,,(929) 337-1205,,,,"141 Flushing Avenue, Suite 801",Brooklyn,NY,11205,City,,Green Book,
Kerry Keegan,"Senior Vice President, Design & Construction",Brooklyn Navy Yard Development Corporation,,,(718) 907-5927,,,,"141 Flushing Avenue, Suite 801",Brooklyn,NY,11205,City,,Green Book,
Lindsay Greene,President & Chief Executive Officer,Brooklyn Navy Yard Development Corporation,,,(718) 907-5908,,,,"141 Flushing Avenue, Suite 801",Brooklyn,NY,11205,City,,Green Book,
Matt Harrison,"Senior Vice President, Development",Brooklyn Navy Yard Development Corporation,,,(718) 907-5983,,,,"141 Flushing Avenue, Suite 801",Brooklyn,NY,11205,City,,Green Book,
Naser Gjeloshi,Executive Vice President & Chief Operating Officer,Brooklyn Navy Yard Development Corporation,,,(718) 907-5902,,,,"141 Flushing Avenue, Suite 801",Brooklyn,NY,11205,City,,Green Book,
